fold,model,target,mae,rmse,r2,n_val
3,lightgbm,TB11_power_target_24hour,461.9254,569.4842,0.1939,44288
1,xgboost,TB12_power_target_10min,113.0356,171.7333,0.9177,46071
1,lightgbm,TB12_power_target_10min,109.6402,169.4095,0.9199,46071
2,xgboost,TB12_power_target_10min,102.8706,163.7015,0.9239,43797
2,lightgbm,TB12_power_target_10min,100.9139,161.9826,0.9255,43797
3,xgboost,TB12_power_target_10min,104.9211,166.5717,0.9276,36095
3,lightgbm,TB12_power_target_10min,105.1214,167.8386,0.9265,36095
1,xgboost,TB12_power_target_30min,186.3919,271.3917,0.7944,46068
1,lightgbm,TB12_power_target_30min,188.2993,271.0339,0.795,46068
2,xgboost,TB12_power_target_30min,190.3432,269.6924,0.7936,43790
2,lightgbm,TB12_power_target_30min,179.3229,262.1906,0.8049,43790
3,xgboost,TB12_power_target_30min,193.3449,273.2762,0.8051,36090
3,lightgbm,TB12_power_target_30min,185.2561,268.5578,0.8118,36090
1,xgboost,TB12_power_target_1hour,263.4422,351.5237,0.6552,46051
1,lightgbm,TB12_power_target_1hour,239.8852,334.089,0.6886,46051
2,xgboost,TB12_power_target_1hour,251.6067,340.98,0.6699,43775
2,lightgbm,TB12_power_target_1hour,233.3997,327.3919,0.6957,43775
3,xgboost,TB12_power_target_1hour,267.6908,357.8017,0.6658,36078
3,lightgbm,TB12_power_target_1hour,244.1782,343.0003,0.6929,36078
1,xgboost,TB12_power_target_6hour,385.5124,489.6167,0.3329,46039
1,lightgbm,TB12_power_target_6hour,383.4335,485.0,0.3454,46039
2,xgboost,TB12_power_target_6hour,361.6917,468.9922,0.3748,43748
2,lightgbm,TB12_power_target_6hour,354.4261,464.028,0.3879,43748
3,xgboost,TB12_power_target_6hour,380.7622,486.3948,0.3803,36046
3,lightgbm,TB12_power_target_6hour,366.955,478.7556,0.3996,36046
1,xgboost,TB12_power_target_24hour,444.0405,555.0972,0.1412,46029
1,lightgbm,TB12_power_target_24hour,440.075,551.3484,0.1528,46029
2,xgboost,TB12_power_target_24hour,441.2166,541.1281,0.1654,43760
2,lightgbm,TB12_power_target_24hour,430.531,532.7145,0.1912,43760
3,xgboost,TB12_power_target_24hour,443.3882,551.7308,0.1842,36050
3,lightgbm,TB12_power_target_24hour,441.6567,549.6804,0.1903,36050
1,xgboost,farm_total_power_target_10min,1005.6605,1493.2655,0.956,46073
1,lightgbm,farm_total_power_target_10min,905.0522,1422.6599,0.96,46073
2,xgboost,farm_total_power_target_10min,829.7322,1290.656,0.9651,43800
2,lightgbm,farm_total_power_target_10min,809.5121,1278.8911,0.9657,43800
3,xgboost,farm_total_power_target_10min,868.4415,1313.3894,0.9676,36097
3,lightgbm,farm_total_power_target_10min,836.8379,1292.5573,0.9686,36097
1,xgboost,farm_total_power_target_30min,2022.5316,2813.1499,0.8438,46073
1,lightgbm,farm_total_power_target_30min,1824.4362,2671.7988,0.8591,46073
2,xgboost,farm_total_power_target_30min,1941.0993,2679.181,0.8496,43800
2,lightgbm,farm_total_power_target_30min,1742.7976,2489.1655,0.8702,43800
3,xgboost,farm_total_power_target_30min,1800.7651,2576.3124,0.8754,36097
3,lightgbm,farm_total_power_target_30min,1769.9979,2554.5024,0.8775,36097
1,xgboost,farm_total_power_target_1hour,2687.009,3632.571,0.7396,46062
1,lightgbm,farm_total_power_target_1hour,2626.316,3575.1914,0.7477,46062
2,xgboost,farm_total_power_target_1hour,2746.9714,3622.1757,0.725,43797
