timestamp_issue,timestamp_target,turbine_id,horizon_min,y_pred,y_low,y_high,model_version,forecast_quality
2026-01-17,2026-01-17,TB11,10,254.08,131.62,491.32,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB11,10,253.33,129.84,492.1,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB11,30,289.48,81.31,686.93,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB11,30,297.54,78.16,698.33,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB11,60,298.85,44.22,825.3,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB11,60,335.07,44.94,854.67,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB11,360,457.34,4.36,1213.46,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB11,360,538.61,10.91,1313.72,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB11,1440,502.52,3.13,1369.83,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB11,1440,538.21,5.39,1397.64,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB12,10,232.44,93.86,521.01,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB12,10,231.24,90.57,522.55,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB12,30,259.38,50.95,696.0,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB12,30,273.64,51.44,716.19,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB12,60,291.13,27.4,847.81,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB12,60,298.16,17.23,884.4,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB12,360,453.59,12.69,1243.65,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB12,360,468.62,4.79,1257.09,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB12,1440,469.84,2.79,1338.25,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB12,1440,489.21,3.83,1343.7,2.0.0_xgboost,reference_only
2026-01-18,2026-01-18,TB01,10,355.58,208.26,590.07,2.0.0_lightgbm,production
2026-01-18,2026-01-18,TB01,10,358.57,207.97,589.25,2.0.0_xgboost,production
2026-01-18,2026-01-18,TB01,30,368.55,126.48,760.11,2.0.0_lightgbm,production
2026-01-18,2026-01-18,TB01,30,390.67,127.95,783.81,2.0.0_xgboost,production
2026-01-18,2026-01-18,TB01,60,361.23,64.87,878.88,2.0.0_lightgbm,production
2026-01-18,2026-01-18,TB01,60,390.26,67.32,920.96,2.0.0_xgboost,production
2026-01-18,2026-01-18,TB01,360,447.6,2.92,1235.59,2.0.0_lightgbm,reference_only
2026-01-18,2026-01-18,TB01,360,384.43,1.1,1173.6,2.0.0_xgboost,reference_only
2026-01-18,2026-01-18,TB01,1440,557.91,5.31,1432.92,2.0.0_lightgbm,reference_only
2026-01-18,2026-01-18,TB01,1440,534.04,4.52,1410.63,2.0.0_xgboost,reference_only
2026-01-18,2026-01-18,TB02,10,310.31,168.53,540.33,2.0.0_lightgbm,production
2026-01-18,2026-01-18,TB02,10,333.9,169.83,564.71,2.0.0_xgboost,production
2026-01-18,2026-01-18,TB02,30,331.42,101.54,717.67,2.0.0_lightgbm,production
2026-01-18,2026-01-18,TB02,30,333.81,97.37,723.67,2.0.0_xgboost,production
2026-01-18,2026-01-18,TB02,60,339.37,49.91,858.88,2.0.0_lightgbm,production
2026-01-18,2026-01-18,TB02,60,350.47,54.18,868.64,2.0.0_xgboost,production
2026-01-18,2026-01-18,TB02,360,336.06,1.51,1125.38,2.0.0_lightgbm,reference_only
2026-01-18,2026-01-18,TB02,360,324.48,0.0,1109.05,2.0.0_xgboost,reference_only
2026-01-18,2026-01-18,TB02,1440,489.7,0.3,1400.13,2.0.0_lightgbm,reference_only
2026-01-18,2026-01-18,TB02,1440,501.47,1.45,1401.01,2.0.0_xgboost,reference_only
2026-01-18,2026-01-18,TB03,10,278.22,131.8,513.25,2.0.0_lightgbm,production
2026-01-18,2026-01-18,TB03,10,276.58,131.24,514.01,2.0.0_xgboost,production
2026-01-18,2026-01-18,TB03,30,304.73,69.69,702.88,2.0.0_lightgbm,production
2026-01-18,2026-01-18,TB03,30,320.38,71.48,717.85,2.0.0_xgboost,production
2026-01-18,2026-01-18,TB03,60,333.33,30.37,857.1,2.0.0_lightgbm,production
2026-01-18,2026-01-18,TB03,60,371.48,31.96,902.59,2.0.0_xgboost,production
2026-01-18,2026-01-18,TB03,360,354.06,0.0,1152.43,2.0.0_lightgbm,reference_only
2026-01-18,2026-01-18,TB03,360,293.31,0.0,1082.04,2.0.0_xgboost,reference_only
2026-01-18,2026-01-18,TB03,1440,480.32,0.27,1361.86,2.0.0_lightgbm,reference_only
2026-01-18,2026-01-18,TB03,1440,525.48,0.03,1401.88,2.0.0_xgboost,reference_only
2026-01-18,2026-01-18,TB04,10,395.07,248.98,622.35,2.0.0_lightgbm,production
